id, roll, pitch, yaw
257, 17.196,-17.898, -3.813
258, 14.799,-22.424, -3.535
259, 12.562,-26.529, -3.390
260, 13.092,-30.570, -4.574
261, 11.645,-34.619, -4.951
262,  8.408,-38.086, -4.392
263,  5.171,-41.358, -3.761
264,  2.139,-43.306, -2.966
265, -0.039,-44.266, -1.788
266, -1.034,-44.282, -0.864
267, -2.195,-44.468,  0.232
268, -2.915,-43.984,  2.105
269, -5.943,-43.525,  4.212
270, -9.679,-43.557,  5.935
271,-10.335,-44.776,  6.325
272,-11.377,-45.886,  6.150
273,-12.642,-47.162,  5.397
274,-13.418,-47.888,  3.388
275,-13.388,-49.599,  1.613
276,-14.676,-51.763,  1.884
277,-15.446,-54.174,  2.735
278,-15.813,-55.709,  3.904
279,-16.041,-57.204,  5.456
280,-16.230,-59.391,  7.295
281,-17.050,-62.071,  9.501
282,-16.798,-65.249, 11.124
283,-16.072,-68.667, 12.209
284,-17.007,-72.285, 13.587
285,-18.048,-76.289, 14.307
286,-18.689,-80.039, 15.185
287,-18.707,-83.903, 16.337
288,-18.438,-88.333, 17.153
289,-19.245, 87.592, 18.328
290,-19.184, 84.025, 19.723
291,-18.624, 79.902, 21.371
292,-19.168, 74.710, 21.851
293,-19.739, 69.449, 23.636
294,-19.888, 64.746, 24.818
295,-18.257, 60.552, 24.630
296,-16.024, 57.031, 23.767
297,-14.365, 53.916, 23.262
298,-13.814, 51.190, 22.845
299,-10.681, 47.789, 22.160
300, -6.704, 43.416, 21.160
301, -6.987, 40.644, 21.228
302, -5.984, 39.189, 21.130
303, -6.961, 37.305, 21.389
304, -7.543, 35.884, 20.809
305, -8.591, 34.418, 20.686
306, -8.778, 33.912, 20.482
307, -8.068, 33.408, 19.676
308, -8.012, 20.283, 27.996
309, -7.751, 18.595, 28.518
310, -7.159, 17.059, 29.076
311, -6.642, 15.546, 29.742
312, -6.174, 13.881, 30.090
313, -5.622, 12.277, 30.657
314, -5.193, 10.695, 31.391
315, -4.835,  9.140, 32.089
316, -4.664,  8.000, 32.622
317, -4.751,  7.783, 31.679
318, -5.370,  7.821, 30.969
319, -5.397,  7.389, 30.652
320, -4.831,  6.740, 31.275
321, -4.536,  6.045, 32.645
322, -3.952,  5.976, 32.588
323, -1.252,  5.825, 33.218
324, -1.160,  5.765, 32.799
325, -1.808,  5.614, 33.636
326, -3.441,  5.888, 34.882
327, -4.887,  5.959, 35.109
328, -8.177,  6.011, 35.215
329, -7.496,  2.213, 35.467
330, -5.250, -1.995, 34.984
331, -3.211, -5.458, 33.432
332, -2.958, -7.303, 32.249
333, -2.643,-10.190, 31.725
334, -1.251,-14.307, 32.561
335, -0.970,-18.866, 33.258
336, -0.392,-23.294, 33.561
337,  2.483,-26.660, 33.612
338,  8.556,-30.544, 34.643
339, 13.753,-30.023, 32.182
340, 17.527,-24.883, 27.185
341, 25.942,-20.351, 21.406
342, 26.045,-23.125, 23.327
343, 28.036,-25.494, 24.620
344, 28.866,-27.158, 25.433
345, 28.669,-29.238, 25.045
346, 28.712,-31.075, 24.428
347, 29.325,-33.203, 25.182
348, 30.236,-35.735, 25.087
349, 27.271,-38.256, 25.016
350, 25.143,-40.006, 24.846
