roll, pitch, yaw
  0.393,  4.218, 15.523
  0.396,  4.197, 15.578
  0.396,  4.223, 15.625
  0.393,  4.203, 15.670
  0.392,  4.206, 15.717
  0.403,  4.198, 15.767
  0.403,  4.179, 15.816
  0.411,  4.163, 15.865
  0.394,  4.183, 15.917
  0.397,  4.195, 15.968
  0.394,  4.177, 16.012
  0.392,  4.186, 16.059
  0.397,  4.169, 16.115
  0.405,  4.147, 16.172
  0.424,  4.117, 16.217
  0.423,  4.135, 16.271
  0.417,  4.145, 16.312
  0.413,  4.166, 16.370
  0.406,  4.161, 16.416
  0.398,  4.158, 16.465
  0.389,  4.158, 16.509
  0.410,  4.146, 16.564
  0.431,  4.141, 16.605
  0.436,  4.162, 16.655
  0.433,  4.172, 16.701
  0.428,  4.168, 16.756
  0.414,  4.189, 16.803
  0.425,  4.173, 16.855
  0.432,  4.176, 16.904
  0.419,  4.194, 16.952
  0.427,  4.160, 17.001
  0.435,  4.153, 17.044
  0.421,  4.168, 17.087
  0.423,  4.182, 17.128
  0.440,  4.146, 17.177
  0.428,  4.146, 17.223
  0.433,  4.158, 17.265
  0.432,  4.163, 17.311
  0.427,  4.160, 17.352
  0.425,  4.165, 17.404
  0.431,  4.162, 17.447
  0.434,  4.130, 17.499
  0.415,  4.135, 17.546
  0.405,  4.119, 17.604
  0.404,  4.115, 17.654
  0.420,  4.101, 17.703
  0.413,  4.120, 17.758
  0.427,  4.091, 17.806
  0.440,  4.106, 17.849
  0.457,  4.098, 17.900
  0.451,  4.094, 17.949
  0.452,  4.123, 17.996
  0.460,  4.136, 18.046
  0.450,  4.155, 18.097
  0.444,  4.179, 18.142
  0.448,  4.175, 18.191
  0.459,  4.145, 18.242
  0.457,  4.142, 18.291
  0.456,  4.125, 18.339
  0.464,  4.118, 18.389
  0.470,  4.103, 18.441
  0.477,  4.058, 18.497
  0.486,  4.053, 18.546
  0.493,  4.040, 18.595
  0.489,  4.017, 18.644
  0.484,  4.014, 18.690
  0.495,  4.006, 18.750
  0.495,  3.955, 18.808
  0.495,  3.951, 18.850
  0.509,  3.939, 18.905
  0.509,  3.946, 18.949
  0.506,  3.951, 18.996
  0.513,  3.941, 19.052
  0.514,  3.913, 19.097
  0.505,  3.925, 19.146
  0.535,  3.906, 19.185
  0.540,  3.920, 19.239
  0.544,  3.900, 19.291
  0.533,  3.924, 19.340
  0.538,  3.928, 19.394
  0.539,  3.931, 19.442
  0.553,  3.915, 19.485
  0.554,  3.932, 19.521
  0.558,  3.919, 19.576
  0.565,  3.911, 19.624
  0.572,  3.896, 19.674
  0.573,  3.885, 19.725
  0.574,  3.878, 19.772
  0.582,  3.862, 19.827
  0.588,  3.851, 19.882
  0.588,  3.840, 19.938
  0.601,  3.842, 19.984
  0.602,  3.847, 20.024
  0.606,  3.847, 20.070
  0.612,  3.819, 20.117
  0.627,  3.795, 20.171
  0.621,  3.785, 20.227
  0.610,  3.790, 20.286
  0.627,  3.783, 20.329
  0.632,  3.749, 20.384
  0.638,  3.760, 20.425
  0.624,  3.761, 20.481
  0.634,  3.766, 20.536
  0.635,  3.761, 20.585
  0.632,  3.757, 20.637
  0.625,  3.743, 20.697
  0.626,  3.754, 20.749
  0.648,  3.726, 20.805
  0.652,  3.701, 20.856
  0.648,  3.720, 20.913
  0.645,  3.731, 20.959
  0.639,  3.713, 21.005
