id, roll, pitch, yaw
261,-42.926, 12.692,-55.133
262,-38.925, 12.708,-55.041
263,-36.283, 12.323,-54.522
264,-34.669, 11.412,-53.739
265,-29.292, 10.300,-54.279
266,-24.764, 12.072,-53.935
267,-21.948, 14.026,-53.129
268,-18.991, 15.263,-52.097
269,-15.279, 15.747,-50.927
270,-11.266, 16.740,-48.480
271, -6.531, 18.698,-44.126
272, -0.915, 20.876,-44.714
273,  4.971, 20.897,-46.558
274,  8.378, 20.742,-47.980
275, 11.746, 19.973,-48.144
276, 14.058, 18.880,-47.269
277, 16.288, 17.900,-46.880
278, 18.654, 16.476,-46.190
279, 20.487, 16.034,-45.738
280, 21.627, 16.052,-44.950
281, 22.863, 15.679,-43.595
282, 23.380, 14.667,-42.167
283, 23.590, 14.697,-41.370
284, 22.790, 14.487,-41.180
285, 20.877, 14.127,-41.498
286, 19.682, 13.517,-41.630
287, 17.052, 12.912,-41.602
288, 13.601, 13.067,-41.879
289, 12.753, 13.073,-41.990
290, 11.938, 13.133,-41.563
291, 11.068, 13.007,-40.799
292,  5.669, 13.195,-41.317
293, -2.595, 13.272,-42.886
294, -7.526, 12.695,-42.881
295, -9.041, 13.061,-42.251
296, -9.602, 12.733,-42.156
297, 13.188,  4.503,-39.950
298, 16.095,  3.485,-39.619
299, 19.235,  2.346,-39.519
300, 13.541,  1.995,-41.561
301,  6.887,  2.310,-46.138
302,-31.009, 13.689,-49.748
303,-21.906, 14.776,-51.118
304,-20.128, 18.200,-52.556
305,-19.827, 18.777,-53.278
306,-17.677, 20.654,-53.243
307,-14.944, 20.438,-52.648
308,-11.547, 21.023,-51.826
309, -9.717, 21.186,-51.771
310, -6.971, 20.972,-51.773
311, -3.584, 20.724,-51.700
312, -0.700, 21.362,-51.793
313,  2.848, 21.801,-51.825
314,  6.311, 21.469,-51.790
315,  7.787, 21.215,-51.193
316,  9.153, 19.814,-50.394
317, 11.307, 19.068,-49.756
318, 13.617, 19.318,-49.235
319, 15.980, 20.013,-48.527
320, 17.522, 19.771,-47.846
321, 18.058, 19.555,-47.337
322, 18.836, 18.903,-47.256
323, 20.941, 17.963,-46.986
324, 23.420, 17.363,-46.534
325, 24.925, 16.423,-46.151
326, 26.654, 15.180,-45.651
327, 29.478, 14.618,-44.823
328, 31.225, 13.598,-43.647
329, 32.126, 12.169,-42.200
330, 34.692, 11.515,-40.234
331, 38.286, 11.172,-38.365
332, 41.877, 10.791,-37.677
333, 45.431, 10.143,-37.180
334, 48.070, 10.475,-36.936
335, 51.112, 10.525,-36.816
336, 55.195, 10.344,-36.006
337, 58.103, 11.003,-36.943
338, 61.286, 11.305,-38.038
339, 65.461, 11.990,-38.471
340, 70.895, 12.729,-38.375
341, 73.500, 12.876,-38.298
342, 75.587, 13.268,-38.247
343, 79.181, 14.484,-38.288
344, 82.679, 15.199,-38.331
345, 83.920, 15.359,-38.115
346, 88.513, 15.445,-37.974
347,-82.517, 16.235,-37.491
348,-80.132, 15.768,-37.520
349,-78.937, 14.209,-37.687
350,-75.578, 13.289,-37.781
