Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
474, -4.135,  2.609, -5.137,  -0.122,  0.010, -1.013,  0.015,  0.130, -0.694
475, -3.634,  2.206, -5.144,  -0.135,  0.001, -0.979,  0.026,  0.129, -0.689
476, -3.708,  2.108, -4.830,  -0.116,  0.010, -1.017,  0.027,  0.129, -0.693
477, -3.843,  1.637, -4.882,  -0.139,  0.001, -0.979,  0.020,  0.129, -0.690
478, -4.680,  2.729, -4.912,  -0.114,  0.011, -1.020,  0.026,  0.130, -0.688
479, -3.895,  1.989, -5.166,  -0.119,  0.010, -1.012,  0.026,  0.127, -0.690
480, -4.135,  2.153, -5.107,  -0.141,  0.001, -0.971,  0.026,  0.130, -0.696
481, -4.015,  2.594, -5.294,  -0.115,  0.010, -1.024,  0.024,  0.127, -0.689
482, -3.836,  2.049, -4.785,  -0.137,  0.001, -0.985,  0.024,  0.129, -0.693
483, -3.738,  2.385, -5.174,  -0.123,  0.009, -1.006,  0.024,  0.128, -0.693
484, -4.015,  2.422, -5.196,  -0.115,  0.013, -1.025,  0.023,  0.130, -0.687
485, -4.538,  2.617, -5.211,  -0.117,  0.011, -1.021,  0.026,  0.130, -0.693
486, -3.806,  2.363, -5.279,  -0.124,  0.008, -1.003,  0.026,  0.126, -0.693
487, -4.187,  2.692, -5.271,  -0.104,  0.018, -1.048,  0.023,  0.125, -0.694
488, -4.090,  2.422, -5.219,  -0.118,  0.010, -1.016,  0.016,  0.124, -0.690
489, -4.172,  2.692, -5.159,  -0.103,  0.017, -1.049,  0.026,  0.130, -0.691
490, -4.770,  2.677, -5.391,  -0.112,  0.013, -1.027,  0.021,  0.127, -0.691
491, -4.456,  2.579, -4.935,  -0.099,  0.020, -1.060,  0.025,  0.128, -0.695
492, -4.045,  2.669, -5.271,  -0.120,  0.011, -1.023,  0.026,  0.129, -0.694
493, -4.389,  2.415, -5.219,  -0.120,  0.008, -1.011,  0.024,  0.129, -0.687
494, -4.344,  2.415, -5.024,  -0.116,  0.012, -1.025,  0.027,  0.130, -0.690
495, -4.030,  2.505, -5.047,  -0.109,  0.015, -1.034,  0.025,  0.131, -0.691
496, -3.925,  2.273, -5.166,  -0.115,  0.013, -1.023,  0.023,  0.128, -0.694
497, -3.791,  2.303, -4.972,  -0.135,  0.004, -0.983,  0.025,  0.130, -0.695
498, -4.538,  2.550, -5.323,  -0.118,  0.010, -1.014,  0.024,  0.130, -0.693
499, -4.000,  2.632, -5.331,  -0.122,  0.009, -1.012,  0.019,  0.125, -0.691
500, -4.419,  2.677, -5.024,  -0.096,  0.020, -1.064,  0.025,  0.130, -0.691
