Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
86, -4.763,-14.408,-36.248,   0.122, -0.078, -1.010, -0.284,  0.032, -0.199
87, -0.979,-14.841,-32.031,   0.131, -0.070, -0.937, -0.294,  0.018, -0.205
88, -0.665, -7.671,-10.393,   0.142, -0.089, -0.952, -0.291,  0.013, -0.210
89,  1.181, -9.563,-14.498,   0.090, -0.090, -0.966, -0.282,  0.015, -0.219
90, -0.194, -9.488,-30.341,   0.053, -0.127, -1.015, -0.279,  0.008, -0.218
91, -1.675,  6.505,-12.142,  -0.009, -0.116, -0.971, -0.286,  0.005, -0.214
92, -3.813,  4.763,-10.468,  -0.006, -0.092, -1.003, -0.287,  0.005, -0.214
93, -5.294, -1.099, -3.021,   0.007, -0.137, -1.081, -0.293,  0.004, -0.212
94,-10.266, -0.740,-24.143,  -0.036, -0.071, -0.942, -0.291, -0.003, -0.223
95, -7.432, 11.275, -1.892,   0.001, -0.048, -0.996, -0.295, -0.011, -0.224
96, -1.824, -3.065, 12.120,   0.036, -0.099, -0.970, -0.294, -0.004, -0.216
97, -9.316,  1.383,  2.393,   0.085, -0.130, -1.115, -0.285,  0.002, -0.214
98, -8.352, -5.428,-16.232,   0.008, -0.105, -1.039, -0.284, -0.001, -0.223
99, -7.933,  7.088,-21.324,   0.028, -0.174, -1.046, -0.285, -0.002, -0.225
100, -9.608, -9.159,-35.709,  -0.073, -0.032, -0.881, -0.292, -0.025, -0.228
101, -7.297, -6.034, -6.737,  -0.121,  0.126, -0.977, -0.290, -0.029, -0.233
102, -7.462, -3.357,  7.604,   0.008,  0.051, -1.068, -0.285, -0.024, -0.233
103, -6.467,  1.727,  8.187,  -0.167,  0.110, -1.059, -0.277, -0.025, -0.236
104, -6.512, -3.394,  7.155,  -0.214,  0.080, -1.039, -0.271, -0.015, -0.239
105, -6.273, -4.703,  9.092,  -0.146,  0.032, -1.003, -0.268, -0.010, -0.244
106, -8.583, -4.097, 17.683,  -0.161,  0.121, -1.060, -0.251, -0.009, -0.246
107,-10.475, -0.755, 23.268,  -0.114,  0.070, -1.041, -0.239, -0.000, -0.249
108, -5.353,  1.391, 18.871,  -0.115, -0.000, -1.094, -0.230,  0.008, -0.243
109,-13.698,  1.234, -2.864,  -0.179, -0.010, -0.948, -0.219,  0.006, -0.240
110, -2.243,  8.725,-14.228,  -0.148, -0.023, -1.148, -0.217,  0.003, -0.241
111,-12.083,  8.583,-12.127,  -0.175, -0.037, -0.979, -0.225, -0.006, -0.244
112, -6.266,  1.765,-21.743,  -0.150, -0.027, -1.107, -0.229, -0.022, -0.236
113, -2.056,  0.105, -3.342,  -0.156,  0.010, -0.999, -0.229, -0.014, -0.236
114,  2.886,-10.378,  3.380,  -0.128,  0.004, -0.969, -0.224, -0.012, -0.232
115,  0.090,  3.028, 16.322,  -0.148,  0.029, -1.011, -0.213,  0.002, -0.235
116, -9.234,  1.630, 21.414,  -0.128,  0.004, -0.985, -0.204,  0.008, -0.236
117, -9.884,  4.523, 25.204,  -0.135,  0.012, -1.033, -0.195,  0.009, -0.228
