Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
83,-20.397,  9.578,-34.909,  -0.218, -0.018,  0.833,  0.073, -0.015,  0.356
84,-21.458, -7.170,-27.799,  -0.393, -0.086,  0.938,  0.092, -0.023,  0.349
85,-32.487, 12.426,-21.219,  -0.348, -0.089,  1.038,  0.116, -0.025,  0.432
86,  2.938, -8.950, 10.916,  -0.175, -0.074,  0.986,  0.086, -0.034,  0.538
87, 12.135, -3.611,  7.110,  -0.235, -0.085,  0.832,  0.077, -0.048,  0.570
88, -2.654,-10.303, -6.550,  -0.112, -0.072,  0.956,  0.080, -0.082,  0.600
89, 10.714,  1.316,-13.645,  -0.083, -0.027,  0.960,  0.067, -0.102,  0.623
90,  0.232,  3.402,-11.537,  -0.077,  0.028,  0.981,  0.065, -0.133,  0.634
91, -5.054,  2.692, -5.196,  -0.071,  0.035,  0.965,  0.067, -0.134,  0.631
92, -6.602,  9.540, -9.645,  -0.094,  0.031,  0.986,  0.072, -0.141,  0.630
93, -5.361,  3.417, -6.131,  -0.106,  0.039,  0.975,  0.087, -0.139,  0.638
94, -4.935,  3.237, -4.845,  -0.116,  0.035,  0.987,  0.088, -0.140,  0.642
95, -5.563,  2.684, 16.075,  -0.171,  0.045,  0.980,  0.084, -0.143,  0.637
96,  5.742, -0.359,  3.851,  -0.213,  0.068,  1.183,  0.126, -0.118,  0.580
97,-43.268, 51.859, 11.140,  -0.466,  0.024,  0.975,  0.097, -0.068,  0.405
98,  8.299, -4.808, 16.860,  -0.398, -0.061,  0.855,  0.065, -0.025,  0.360
99,-30.236, 15.701, 27.268,  -0.125, -0.096,  0.833,  0.094, -0.016,  0.340
100,-25.653, -1.421,  8.501,  -0.007, -0.045,  0.941,  0.029, -0.070,  0.387
101,-10.213,-10.079,-10.415,  -0.047, -0.078,  1.022,  0.060, -0.108,  0.459
102, 73.796,-17.630,-15.627,  -0.120, -0.015,  1.040, -0.017, -0.109,  0.395
103, -4.920,  2.602,-14.041,  -0.161, -0.010,  0.998, -0.033, -0.101,  0.384
104, -4.793,  2.535, -4.613,  -0.168,  0.035,  0.984, -0.039, -0.103,  0.387
105, -4.688,  2.789, -4.561,  -0.168,  0.037,  0.994, -0.032, -0.108,  0.401
106, -4.837,  2.744, -4.621,  -0.156,  0.036,  0.983, -0.031, -0.118,  0.423
107, -5.032,  2.602, -4.755,  -0.167,  0.035,  0.997, -0.034, -0.120,  0.415
108, -5.069,  2.938, -4.927,  -0.160,  0.039,  0.966, -0.033, -0.104,  0.389
109, -4.785,  2.923, -4.613,  -0.164,  0.035,  0.982, -0.035, -0.102,  0.390
110, -5.361,  2.624,-13.877,  -0.165,  0.026,  0.993, -0.039, -0.102,  0.388
111, -6.729,  2.639, -6.617,  -0.107, -0.006,  1.003, -0.032, -0.108,  0.396
112,-30.191, 40.711,-16.352,  -0.056, -0.032,  1.173,  0.063, -0.145,  0.463
113, -1.219, 11.088,-18.012,  -0.063,  0.092,  0.965,  0.002, -0.079,  0.410
114,-22.296,  7.701,-26.161,  -0.066, -0.040,  0.743,  0.060, -0.009,  0.340
115,-11.238,-21.047,-11.058,  -0.282, -0.058,  0.874,  0.055,  0.014,  0.347
116,  2.684,-18.782, -7.021,  -0.406, -0.113,  0.968,  0.075, -0.015,  0.363
117,-15.417, 16.741,  0.344,  -0.399, -0.138,  1.048,  0.150, -0.006,  0.476
118,-14.281,  6.976, -7.761,  -0.126,  0.052,  0.996,  0.180,  0.005,  0.548
119, -0.935,  3.260, 10.505,  -0.036, -0.074,  0.988,  0.181, -0.042,  0.576
120, -4.845,  2.632, -4.800,  -0.110,  0.037,  0.985,  0.180, -0.043,  0.573
121, -5.032,  3.170, -4.912,  -0.114,  0.032,  0.985,  0.178, -0.043,  0.574
122, -4.785,  2.931, -4.748,  -0.108,  0.038,  0.961,  0.179, -0.042,  0.571
123, -9.062,  9.533, 16.210,  -0.132,  0.060,  1.070,  0.180, -0.045,  0.572
124, 23.589, 21.862, 19.686,  -0.204, -0.049,  0.842,  0.141, -0.032,  0.427
125,  6.819,-17.877, -4.598,  -0.185, -0.010,  0.754,  0.109, -0.038,  0.387
126, -5.032,-11.088,  3.335,  -0.131,  0.024,  1.095,  0.086, -0.047,  0.385
127, -4.030, -1.234, -1.779,  -0.116,  0.016,  0.977,  0.077, -0.046,  0.387
128,-13.959, -4.052,  8.845,  -0.121, -0.025,  0.966,  0.079, -0.041,  0.383
129, 20.434,-33.242,  3.507,  -0.131, -0.120,  1.029,  0.085, -0.045,  0.391
130, -4.389,  2.437, -8.210,  -0.116,  0.041,  1.000,  0.083, -0.065,  0.407
131, -4.882,  2.579, -9.817,  -0.125,  0.031,  0.980,  0.078, -0.067,  0.412
132, -4.733,  2.938, -4.733,  -0.109,  0.034,  0.966,  0.081, -0.065,  0.412
133, -4.561,  3.335, -4.591,  -0.124,  0.032,  0.998,  0.078, -0.064,  0.408
134, -5.712,  2.886, -0.972,   0.033,  0.031,  0.968,  0.081, -0.065,  0.406
135, 15.784,-17.122, 11.357,  -0.140,  0.080,  1.421,  0.076, -0.068,  0.406
136,-29.017, 73.138, -6.781,  -0.224,  0.082,  1.732,  0.048, -0.044,  0.374
137, -9.608,106.986,-13.937,  -0.223,  0.091,  1.017,  0.107, -0.034,  0.348
138, -5.458, 66.917,-12.613,  -0.312,  0.052,  0.473,  0.147, -0.034,  0.313
139, -8.015, 13.481,  0.224,  -0.379,  0.058,  0.386,  0.170, -0.034,  0.290
140,  3.910,-11.701, -0.636,  -0.506,  0.022,  0.539,  0.168, -0.034,  0.285
141,-17.907,-25.511,-13.847,  -0.489,  0.035,  0.743,  0.163, -0.026,  0.305
142,-18.034,-40.592, -2.505,  -0.342,  0.049,  0.718,  0.145, -0.018,  0.310
143,-14.019,-42.124,-12.254,  -0.289, -0.040,  0.953,  0.118, -0.010,  0.322
144, -9.241,-40.031,-10.438,  -0.293, -0.075,  1.192,  0.090, -0.006,  0.335
145, -4.912,-21.780,  0.374,  -0.200, -0.027,  1.281,  0.073, -0.000,  0.344
146,-17.675, 10.228, -4.449,  -0.175, -0.038,  1.204,  0.073, -0.002,  0.350
147,  2.542,  0.127, -7.148,  -0.156, -0.028,  1.009,  0.080, -0.007,  0.361
148,-11.537,  8.382, -7.245,  -0.171, -0.053,  0.984,  0.087, -0.009,  0.374
149, -2.579,  6.953, -6.677,  -0.193, -0.067,  0.965,  0.102, -0.012,  0.382
150,  9.039,-18.258,  1.099,  -0.184, -0.056,  1.000,  0.104, -0.016,  0.400
151, -2.572, -2.579, -7.155,  -0.157, -0.039,  0.953,  0.104, -0.021,  0.409
152, 36.188,-12.180, -6.101,  -0.119,  0.022,  0.971,  0.094, -0.032,  0.422
153, -5.039,  4.830, -6.886,  -0.112,  0.029,  0.999,  0.087, -0.044,  0.436
154, -4.882,  2.998, -6.243,  -0.120,  0.029,  0.998,  0.094, -0.042,  0.432
155, -5.510,  2.961, -1.630,  -0.118,  0.034,  0.995,  0.092, -0.042,  0.428
156,-34.266, -0.650, -0.419,  -0.132,  0.070,  1.345,  0.094, -0.032,  0.417
157,  2.647, 67.702, -9.025,  -0.120,  0.112,  1.730,  0.059, -0.031,  0.368
158,  8.008, 91.247,-20.972,  -0.177,  0.161,  1.110,  0.105, -0.035,  0.350
159,  1.338, 79.157,-18.483,  -0.298,  0.120,  0.735,  0.147, -0.038,  0.321
160,  9.481, 46.132, -5.667,  -0.312,  0.066,  0.500,  0.175, -0.041,  0.295
161,-17.316, 26.176,  0.449,  -0.493,  0.076,  0.198,  0.189, -0.046,  0.277
162,-32.756, -1.017, -3.185,  -0.671,  0.007,  0.672,  0.187, -0.038,  0.268
163,-24.217, -7.021,  0.733,  -0.476,  0.081,  0.769,  0.190, -0.027,  0.271
164,-18.662,-29.317, -3.432,  -0.438,  0.094,  0.655,  0.176, -0.026,  0.282
165,-21.653,-43.111, -9.466,  -0.455,  0.004,  0.968,  0.152, -0.016,  0.301
166, -6.886,-56.756, -7.118,  -0.310, -0.005,  0.998,  0.117, -0.016,  0.325
167,-11.365,-39.253, -7.013,  -0.255, -0.023,  1.154,  0.091, -0.018,  0.345
168,-15.686,-20.322, -2.737,  -0.204,  0.002,  1.226,  0.065, -0.015,  0.357
169,-12.000,  8.673, -0.067,  -0.193, -0.015,  1.228,  0.071, -0.021,  0.377
170, -8.210,  3.828, -8.015,  -0.124, -0.006,  0.897,  0.091, -0.028,  0.400
171,  0.523,  1.936, -6.445,  -0.122, -0.014,  0.971,  0.095, -0.027,  0.409
172,  6.826, -0.164,-10.026,  -0.118,  0.013,  0.992,  0.098, -0.037,  0.417
173, -3.163,  2.363,-18.281,  -0.119,  0.029,  0.985,  0.096, -0.034,  0.420
174, -5.421,  3.088, -5.047,  -0.113,  0.041,  0.978,  0.096, -0.032,  0.420
175, -4.598,  3.051, -8.053,  -0.104,  0.040,  0.965,  0.093, -0.033,  0.422
176, -7.567,  3.753, -3.357,  -0.104,  0.036,  0.983,  0.095, -0.030,  0.418
177,-25.675,-61.960, 31.784,  -0.093,  0.155,  1.542,  0.082, -0.027,  0.403
178,  7.342, 86.178,-13.234,  -0.107,  0.127,  1.745,  0.057, -0.026,  0.362
179, -0.254, 96.937,-19.021,  -0.195,  0.117,  1.101,  0.108, -0.032,  0.344
180, -1.690, 70.671,-20.419,  -0.328,  0.075,  0.631,  0.157, -0.025,  0.304
181,-26.715, 46.498, -9.077,  -0.224,  0.107,  0.572,  0.171, -0.021,  0.284
182,-11.866, 15.582,-11.514,  -0.568, -0.036,  0.365,  0.179, -0.015,  0.268
183,-20.890,-18.886, -8.494,  -0.701, -0.066,  0.528,  0.172, -0.005,  0.267
184,-21.481,-32.539, -3.634,  -0.412,  0.040,  0.813,  0.149,  0.005,  0.282
185, -6.138,-39.530, -7.447,  -0.333, -0.028,  0.830,  0.145,  0.008,  0.295
186,-16.202,-44.136, -5.563,  -0.349, -0.042,  1.155,  0.117,  0.013,  0.310
187,-13.398,-36.120, -7.686,  -0.263, -0.041,  1.299,  0.084,  0.013,  0.326
188, -6.131,-17.256, -4.202,  -0.239, -0.053,  1.189,  0.067,  0.008,  0.340
189,  0.277, -4.905, -1.608,  -0.196, -0.021,  1.063,  0.066,  0.002,  0.355
