Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
140,  8.703,  1.062,-27.432,  -0.032,  0.044, -1.047, -0.004, -0.150, -0.327
141,  8.703,  1.062,-27.432,  -0.032,  0.044, -1.047, -0.002, -0.154, -0.316
142,  8.636,  2.639,-26.161,  -0.065,  0.035, -0.954, -0.002, -0.154, -0.316
143,  8.636,  2.639,-26.161,  -0.065,  0.035, -0.954, -0.002, -0.154, -0.316
144,  8.636,  2.639,-26.161,  -0.065,  0.035, -0.954, -0.002, -0.154, -0.316
145,  7.634,  3.051,-24.561,  -0.034,  0.054, -0.982, -0.002, -0.154, -0.316
146,  7.634,  3.051,-24.561,  -0.034,  0.054, -0.982, -0.002, -0.154, -0.316
147,  7.634,  3.051,-24.561,  -0.034,  0.054, -0.982, -0.004, -0.169, -0.326
148,  7.634,  3.051,-24.561,  -0.045,  0.052, -0.964, -0.004, -0.169, -0.326
149,  6.041,  3.200,-23.245,  -0.045,  0.052, -0.964, -0.004, -0.169, -0.326
150,  6.041,  3.200,-23.245,  -0.045,  0.052, -0.964, -0.004, -0.169, -0.326
151,  6.041,  3.200,-23.245,  -0.050,  0.045, -0.938, -0.004, -0.169, -0.326
152,  4.980,  0.441,-22.498,  -0.050,  0.045, -0.938, -0.004, -0.169, -0.326
153,  4.980,  0.441,-22.498,  -0.050,  0.045, -0.938, -0.004, -0.145, -0.328
154,  4.980,  0.441,-22.498,  -0.013,  0.064, -1.011, -0.004, -0.145, -0.328
155, -2.378, -1.241,-22.692,  -0.013,  0.064, -1.011, -0.004, -0.145, -0.328
156, -2.378, -1.241,-22.692,  -0.013,  0.064, -1.011, -0.004, -0.145, -0.328
157, -2.378, -1.241,-22.692,  -0.058,  0.051, -0.924, -0.004, -0.145, -0.328
158, -3.462, -2.437,-20.397,  -0.058,  0.051, -0.924, -0.004, -0.145, -0.328
159, -3.462, -2.437,-20.397,  -0.058,  0.051, -0.924,  0.000, -0.157, -0.328
160, -3.462, -2.437,-20.397,  -0.047,  0.038, -0.954,  0.000, -0.157, -0.328
161, -3.462, -2.437,-20.397,  -0.047,  0.038, -0.954,  0.000, -0.157, -0.328
162,  0.920, -6.004,-19.103,  -0.047,  0.038, -0.954,  0.000, -0.157, -0.328
163,  0.920, -6.004,-19.103,  -0.057,  0.033, -0.947,  0.000, -0.157, -0.328
164,  0.920, -6.004,-19.103,  -0.057,  0.033, -0.947,  0.000, -0.157, -0.328
165,  5.952,-10.146,-17.750,  -0.057,  0.033, -0.947,  0.002, -0.156, -0.334
166,  5.952,-10.146,-17.750,  -0.059,  0.022, -0.932,  0.002, -0.156, -0.334
167,  5.952,-10.146,-17.750,  -0.059,  0.022, -0.932,  0.002, -0.156, -0.334
168,  8.075,-13.361,-16.270,  -0.059,  0.022, -0.932,  0.002, -0.156, -0.334
169,  8.075,-13.361,-16.270,  -0.013,  0.019, -1.053,  0.002, -0.156, -0.334
170,  8.075,-13.361,-16.270,  -0.013,  0.019, -1.053,  0.002, -0.156, -0.334
171,  7.469,-11.484,-14.453,  -0.013,  0.019, -1.053,  0.001, -0.154, -0.300
172,  7.469,-11.484,-14.453,  -0.008,  0.014, -1.093,  0.001, -0.154, -0.300
173,  7.469,-11.484,-14.453,  -0.008,  0.014, -1.093,  0.001, -0.154, -0.300
174,  7.103, -6.781,-13.690,  -0.008,  0.014, -1.093,  0.001, -0.154, -0.300
175,  7.103, -6.781,-13.690,  -0.020,  0.014, -1.092,  0.001, -0.154, -0.300
176,  7.103, -6.781,-13.690,  -0.020,  0.014, -1.092,  0.001, -0.154, -0.300
177,  7.103, -6.781,-13.690,  -0.020,  0.014, -1.092,  0.006, -0.151, -0.350
178,  0.867, -2.004,-17.750,  -0.040,  0.031, -1.034,  0.006, -0.151, -0.350
179,  0.867, -2.004,-17.750,  -0.040,  0.031, -1.034,  0.006, -0.151, -0.350
180,  0.867, -2.004,-17.750,  -0.040,  0.031, -1.034,  0.006, -0.151, -0.350
181, -5.129,  0.493,-21.085,  -0.036,  0.055, -1.043,  0.006, -0.151, -0.350
182, -5.129,  0.493,-21.085,  -0.036,  0.055, -1.043,  0.006, -0.151, -0.350
183, -5.129,  0.493,-21.085,  -0.036,  0.055, -1.043,  0.006, -0.141, -0.313
184, -7.828,  0.733,-21.967,  -0.048,  0.060, -0.982,  0.006, -0.141, -0.313
185, -7.828,  0.733,-21.967,  -0.048,  0.060, -0.982,  0.006, -0.141, -0.313
186, -7.828,  0.733,-21.967,  -0.048,  0.060, -0.982,  0.006, -0.141, -0.313
187, -4.710, -2.310,-20.681,  -0.040,  0.056, -1.029,  0.006, -0.141, -0.313
188, -4.710, -2.310,-20.681,  -0.040,  0.056, -1.029,  0.006, -0.141, -0.313
189, -4.710, -2.310,-20.681,  -0.040,  0.056, -1.029,  0.004, -0.164, -0.313
190, -2.108, -4.127,-19.507,  -0.013,  0.052, -1.102,  0.004, -0.164, -0.313
191, -2.108, -4.127,-19.507,  -0.013,  0.052, -1.102,  0.004, -0.164, -0.313
192, -2.108, -4.127,-19.507,  -0.013,  0.052, -1.102,  0.004, -0.164, -0.313
193, -2.108, -4.127,-19.507,  -0.034,  0.029, -1.064,  0.004, -0.164, -0.313
194,  3.723, -5.279,-17.698,  -0.034,  0.029, -1.064,  0.004, -0.164, -0.313
195,  3.723, -5.279,-17.698,  -0.034,  0.029, -1.064,  0.009, -0.150, -0.321
196,  3.723, -5.279,-17.698,  -0.028,  0.013, -1.085,  0.009, -0.150, -0.321
197,  8.314, -5.174,-17.750,  -0.028,  0.013, -1.085,  0.009, -0.150, -0.321
198,  8.314, -5.174,-17.750,  -0.028,  0.013, -1.085,  0.009, -0.150, -0.321
199,  8.314, -5.174,-17.750,  -0.027,  0.034, -1.079,  0.009, -0.150, -0.321
200,  8.912, -3.656,-20.015,  -0.027,  0.034, -1.079,  0.009, -0.150, -0.321
201,  8.912, -3.656,-20.015,  -0.027,  0.034, -1.079,  0.008, -0.147, -0.336
202,  8.912, -3.656,-20.015,  -0.012,  0.063, -1.080,  0.008, -0.147, -0.336
203,  9.436, -3.380,-20.143,  -0.012,  0.063, -1.080,  0.008, -0.147, -0.336
204,  9.436, -3.380,-20.143,  -0.012,  0.063, -1.080,  0.008, -0.147, -0.336
205,  9.436, -3.380,-20.143,  -0.014,  0.054, -1.067,  0.008, -0.147, -0.336
206,  9.436, -3.380,-20.143,  -0.014,  0.054, -1.067,  0.008, -0.147, -0.336
207, 12.172, -1.563,-17.892,  -0.014,  0.054, -1.067,  0.011, -0.134, -0.348
208, 12.172, -1.563,-17.892,  -0.031,  0.042, -1.030,  0.011, -0.134, -0.348
209, 12.172, -1.563,-17.892,  -0.031,  0.042, -1.030,  0.011, -0.134, -0.348
210, 16.479, -0.852,-15.163,  -0.031,  0.042, -1.030,  0.011, -0.134, -0.348
211, 16.479, -0.852,-15.163,  -0.041,  0.021, -1.032,  0.011, -0.134, -0.348
212, 16.479, -0.852,-15.163,  -0.041,  0.021, -1.032,  0.012, -0.151, -0.347
213, 16.434, -2.729,-12.299,  -0.041, -0.026, -1.047,  0.012, -0.151, -0.347
214, 16.434, -2.729,-12.299,  -0.050, -0.019, -1.047,  0.012, -0.151, -0.347
215, 16.434, -2.729,-12.299,  -0.050, -0.019, -1.047,  0.012, -0.151, -0.347
216,  7.910,  0.965,-11.881,  -0.050, -0.019, -1.047,  0.012, -0.151, -0.347
217,  7.910,  0.965,-11.881,  -0.047, -0.027, -1.078,  0.012, -0.151, -0.347
218,  7.910,  0.965,-11.881,  -0.047, -0.027, -1.078,  0.009, -0.135, -0.340
219, -1.974,  6.370,-16.427,  -0.047, -0.027, -1.078,  0.009, -0.135, -0.340
220, -1.974,  6.370,-16.427,  -0.031, -0.014, -1.086,  0.009, -0.135, -0.340
221, -1.974,  6.370,-16.427,  -0.031, -0.014, -1.086,  0.009, -0.135, -0.340
222, -1.974,  6.370,-16.427,  -0.031, -0.014, -1.086,  0.009, -0.135, -0.340
223,-11.813,  9.316,-20.845,  -0.018, -0.009, -1.066,  0.009, -0.135, -0.340
224,-11.813,  9.316,-20.845,  -0.018, -0.009, -1.066,  0.009, -0.135, -0.340
225,-11.813,  9.316,-20.845,  -0.018, -0.009, -1.066,  0.011, -0.141, -0.340
226,-16.838, 13.271,-21.900,  -0.018,  0.008, -1.042,  0.011, -0.141, -0.340
227,-16.838, 13.271,-21.900,  -0.018,  0.008, -1.042,  0.011, -0.141, -0.340
228,-16.838, 13.271,-21.900,  -0.018,  0.008, -1.042,  0.011, -0.141, -0.340
229,-13.226, 13.301,-20.135,  -0.053,  0.008, -0.947,  0.011, -0.141, -0.340
230,-13.226, 13.301,-20.135,  -0.053,  0.008, -0.947,  0.011, -0.141, -0.340
231,-13.226, 13.301,-20.135,  -0.053,  0.008, -0.947,  0.009, -0.142, -0.333
232, -7.641,  8.561,-17.608,  -0.056,  0.011, -0.925,  0.009, -0.142, -0.333
233, -7.641,  8.561,-17.608,  -0.056,  0.011, -0.925,  0.009, -0.142, -0.333
234, -7.641,  8.561,-17.608,  -0.056,  0.011, -0.925,  0.009, -0.142, -0.333
235, -7.641,  8.561,-17.608,  -0.054,  0.019, -0.919,  0.009, -0.142, -0.333
236, -3.215,  3.821,-14.483,  -0.054,  0.019, -0.919,  0.009, -0.142, -0.333
237, -3.215,  3.821,-14.483,  -0.054,  0.019, -0.919,  0.010, -0.140, -0.332
238, -3.215,  3.821,-14.483,  -0.070,  0.010, -0.892,  0.010, -0.140, -0.332
239, -0.621, -0.725,-10.453,  -0.070,  0.010, -0.892,  0.010, -0.140, -0.332
240, -0.621, -0.725,-10.453,  -0.070,  0.010, -0.892,  0.010, -0.140, -0.332
241, -0.621, -0.725,-10.453,  -0.055,  0.012, -0.930,  0.010, -0.140, -0.332
242, -0.755, -5.286, -9.025,  -0.055,  0.012, -0.930,  0.010, -0.140, -0.332
243, -0.755, -5.286, -9.025,  -0.055,  0.012, -0.930,  0.009, -0.138, -0.334
244, -0.755, -5.286, -9.025,  -0.051, -0.009, -0.981,  0.009, -0.138, -0.334
245, -4.501, -6.138,-10.512,  -0.051, -0.009, -0.981,  0.009, -0.138, -0.334
246, -4.501, -6.138,-10.512,  -0.051, -0.009, -0.981,  0.009, -0.138, -0.334
247, -4.501, -6.138,-10.512,  -0.051, -0.016, -1.001,  0.009, -0.138, -0.334
248, -4.501, -6.138,-11.230,  -0.051, -0.016, -1.001,  0.009, -0.138, -0.334
249, -6.340, -5.196,-11.230,  -0.051, -0.016, -1.001,  0.009, -0.122, -0.343
250, -6.340, -5.196,-11.230,  -0.061, -0.072, -0.991,  0.009, -0.122, -0.343
251, -6.340, -5.196,-11.230,  -0.061, -0.072, -0.991,  0.009, -0.122, -0.343
252,-12.718, -0.673,-13.698,  -0.061, -0.072, -0.991,  0.009, -0.122, -0.343
253,-12.718, -0.673,-13.698,  -0.054, -0.053, -1.025,  0.009, -0.122, -0.343
254,-12.718, -0.673,-13.698,  -0.054, -0.053, -1.025,  0.009, -0.122, -0.343
255,-22.019,  8.329,-20.524,  -0.054, -0.053, -1.025,  0.010, -0.142, -0.346
256,-22.019,  8.329,-20.524,  -0.055,  0.005, -0.971,  0.010, -0.142, -0.346
257,-22.019,  8.329,-20.524,  -0.055,  0.005, -0.971,  0.010, -0.142, -0.346
258,-19.245, 10.453,-19.171,  -0.055,  0.005, -0.971,  0.010, -0.142, -0.346
259,-19.245, 10.453,-19.171,  -0.080,  0.008, -0.951,  0.010, -0.142, -0.346
260,-19.245, 10.453,-19.171,  -0.080,  0.008, -0.951,  0.010, -0.142, -0.346
261,-13.705,  7.118,-20.741,  -0.080,  0.008, -0.951,  0.010, -0.136, -0.343
262,-13.705,  7.118,-20.741,  -0.034,  0.037, -1.011,  0.010, -0.136, -0.343
263,-13.705,  7.118,-20.741,  -0.034,  0.037, -1.011,  0.010, -0.136, -0.343
264,-13.705,  7.118,-20.741,  -0.034,  0.037, -1.011,  0.010, -0.136, -0.343
265,-16.083,  3.469,-26.445,  -0.056,  0.066, -1.025,  0.010, -0.136, -0.343
266,-16.083,  3.469,-26.445,  -0.056,  0.066, -1.025,  0.010, -0.136, -0.343
267,-16.083,  3.469,-26.445,  -0.056,  0.066, -1.025,  0.013, -0.142, -0.319
268,-20.240,  1.735,-22.587,   0.003,  0.039, -1.065,  0.013, -0.142, -0.319
269,-20.240,  1.735,-22.587,   0.003,  0.039, -1.065,  0.013, -0.142, -0.319
270,-20.240,  1.735,-22.587,   0.003,  0.039, -1.065,  0.013, -0.142, -0.319
271,-19.014,  4.359,-18.221,  -0.024,  0.058, -1.127,  0.013, -0.142, -0.319
272,-19.014,  4.359,-18.221,  -0.024,  0.058, -1.127,  0.013, -0.142, -0.319
273,-19.014,  4.359,-18.221,  -0.024,  0.058, -1.127,  0.011, -0.141, -0.324
274,-16.569,  7.327,-15.567,  -0.079,  0.016, -1.026,  0.011, -0.141, -0.324
275,-16.569,  7.327,-15.567,  -0.079,  0.016, -1.026,  0.011, -0.141, -0.324
276,-16.569,  7.327,-15.567,  -0.079,  0.016, -1.081,  0.011, -0.141, -0.324
277,-14.393,  6.938,-16.247,  -0.058,  0.024, -1.081,  0.011, -0.141, -0.324
278,-14.393,  6.938,-16.247,  -0.058,  0.024, -1.081,  0.011, -0.143, -0.329
279,-14.393,  6.938,-16.247,  -0.058,  0.024, -1.081,  0.007, -0.143, -0.329
280,-14.393,  6.938,-16.247,  -0.072,  0.030, -1.048,  0.007, -0.143, -0.329
281,-13.129,  6.714,-15.298,  -0.072,  0.030, -1.048,  0.007, -0.143, -0.329
282,-13.129,  6.714,-15.298,  -0.072,  0.030, -1.048,  0.007, -0.143, -0.329
283,-13.129,  6.714,-15.298,  -0.065,  0.025, -1.071,  0.007, -0.143, -0.329
284,-13.473,  8.008,-12.441,  -0.065,  0.025, -1.071,  0.007, -0.143, -0.329
285,-13.473,  8.008,-12.441,  -0.065,  0.025, -1.071,  0.010, -0.143, -0.343
