Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
104, 13.062, 24.427,-22.610,  -0.261, -0.068, -0.889, -0.071,  0.105, -0.412
105,-20.083, 16.157,-12.785,  -0.144, -0.164, -0.971, -0.077,  0.075, -0.350
106, -5.451, 18.812,-23.866,  -0.230, -0.043, -0.943, -0.098,  0.071, -0.354
107,-29.100, 17.728,-19.761,  -0.103,  0.077, -0.589, -0.111,  0.046, -0.363
108, 14.423,  1.376,-20.591,  -0.085,  0.076, -0.743, -0.121,  0.031, -0.352
109,-10.744,  1.929, -8.023,  -0.060, -0.012, -0.923, -0.119,  0.032, -0.366
110, 11.754, -3.193,-18.931,  -0.089, -0.052, -1.199, -0.113,  0.040, -0.353
111, -1.271, -6.931, -9.653,  -0.124,  0.019, -1.003, -0.117,  0.038, -0.355
112, -9.570,-11.140,-11.297,  -0.153,  0.106, -0.957, -0.109,  0.041, -0.364
113,  0.307, -6.572,  6.565,  -0.216,  0.139, -1.082, -0.100,  0.045, -0.379
114,-23.791,  1.032, 31.911,  -0.185,  0.124, -1.029, -0.094,  0.047, -0.366
115,  9.047,  1.017, 26.251,  -0.203,  0.104, -1.075, -0.084,  0.067, -0.385
116,  2.101,  9.697, 26.356,  -0.164, -0.038, -1.020, -0.081,  0.082, -0.364
117,-12.860, 12.785, 19.268,  -0.224,  0.038, -0.997, -0.076,  0.095, -0.355
118, -8.023,  4.045, 20.688,  -0.168, -0.062, -1.091, -0.071,  0.093, -0.368
119,-32.898, 14.886, 15.417,  -0.143, -0.121, -0.981, -0.071,  0.082, -0.363
120,-12.284, -1.413,  1.009,  -0.161, -0.129, -0.910, -0.056,  0.093, -0.378
121, 14.423, 12.322,  4.075,  -0.126, -0.130, -1.052, -0.060,  0.103, -0.352
122,  1.480,  3.918, -3.768,  -0.167, -0.097, -1.060, -0.060,  0.110, -0.368
123,-10.094,  7.836, -6.580,  -0.133, -0.076, -0.993, -0.061,  0.117, -0.344
124, -9.712,  2.737,-12.232,  -0.095,  0.004, -1.060, -0.064,  0.112, -0.336
125, -5.249,  4.628, -7.843,  -0.101,  0.027, -1.002, -0.074,  0.116, -0.367
126, -1.548, -1.129, -2.819,  -0.104,  0.016, -0.927, -0.068,  0.111, -0.356
127, -9.443,-11.724,  6.699,  -0.102,  0.039, -0.800, -0.060,  0.114, -0.378
128, -4.209, -7.619, 21.249,  -0.093, -0.111, -0.821, -0.045,  0.115, -0.369
129,-19.447,-18.490, 16.471,  -0.114, -0.103, -0.868, -0.028,  0.126, -0.359
130, -2.460,-21.174, -8.389,  -0.240, -0.058, -0.932, -0.013,  0.101, -0.336
131, -7.611,-19.171,-17.174,  -0.323,  0.089, -1.024, -0.003,  0.105, -0.356
132, -3.335,-31.171,-15.739,  -0.464,  0.193, -1.273,  0.002,  0.100, -0.355
133, -0.127,-15.208, -4.097,  -0.509,  0.040, -1.245,  0.083,  0.186, -0.341
134, -9.204, -1.742, -1.451,  -0.525,  0.014, -1.148,  0.143,  0.273, -0.413
135,-17.705,  6.946, -0.553,  -0.509, -0.118, -1.003,  0.148,  0.286, -0.381
136,  5.451, 18.901,  6.632,  -0.440, -0.188, -1.013,  0.143,  0.353, -0.309
137,-17.354, 24.292,-26.513,  -0.507, -0.120, -1.015, -0.079,  0.808,  0.732
138,-11.679, 21.189,-45.982,  -0.436, -0.010, -0.966,  0.358, -0.482, -0.475
139,-10.976, 12.740,-52.510,  -0.395,  0.126, -0.950,  0.073,  0.117, -0.410
140,  9.069, -1.533,-34.603,  -0.383,  0.161, -1.022,  0.038,  0.060, -0.366
141,-26.169,  4.680,-16.628,  -0.334,  0.280, -0.911,  0.012,  0.094, -0.379
142,-13.668,  0.718,  6.512,  -0.276,  0.263, -1.065,  0.000,  0.064, -0.375
143, -7.492,  3.432,  7.963,  -0.311,  0.147, -1.079,  0.002,  0.066, -0.375
144, -6.430,  8.239,  0.688,  -0.328,  0.126, -0.991, -0.002,  0.052, -0.353
145, -9.077,  3.043, -1.712,  -0.321,  0.078, -0.955, -0.002,  0.070, -0.373
146,  2.265, -0.628,-11.903,  -0.346,  0.079, -0.954,  0.000,  0.073, -0.377
147, -0.606, -4.494, -6.153,  -0.337,  0.113, -1.003, -0.001,  0.069, -0.383
148, -9.204, -1.084, -2.609,  -0.364,  0.086, -0.942,  0.007,  0.067, -0.369
149, -1.024, -7.357, -2.789,  -0.372, -0.043, -1.154,  0.016,  0.077, -0.354
150,-44.210, 35.021,-14.782,  -0.473, -0.188, -1.397, -0.001,  0.064, -0.381
151,-44.420, 45.579,-32.494,  -0.406, -0.016, -1.018, -0.052,  0.002, -0.401
152,-14.041, 44.225,-36.315,  -0.219,  0.062, -0.800, -0.086, -0.002, -0.385
153,  9.682, 30.102,-44.637,  -0.115,  0.081, -0.807, -0.119, -0.020, -0.403
154, 20.845,  9.346,-41.833,  -0.060,  0.105, -0.889, -0.130, -0.033, -0.352
155, 21.772,  3.664,-47.627,  -0.134,  0.255, -0.766, -0.131, -0.038, -0.344
156, -4.763,  5.578,-21.982,  -0.139,  0.352, -0.724, -0.130, -0.025, -0.352
157, -4.845, -6.894, -9.114,  -0.122,  0.298, -0.873, -0.122, -0.038, -0.353
158,  5.630,-17.309,-16.083,  -0.259,  0.206, -0.908, -0.113, -0.026, -0.364
159, -3.880, -9.301, -7.013,  -0.321,  0.252, -1.314, -0.087, -0.022, -0.396
160, -0.725,  2.774, -3.529,  -0.295,  0.129, -1.153, -0.084, -0.031, -0.354
161, -4.523, -1.421, -1.488,  -0.277,  0.066, -1.040, -0.081, -0.029, -0.367
162, -4.426,  1.054, -1.495,  -0.285, -0.011, -0.980, -0.081, -0.038, -0.364
163, -6.677,  2.191, -6.161,  -0.293,  0.004, -1.021, -0.080, -0.035, -0.365
164, -9.525,  4.852, -3.215,  -0.291,  0.053, -1.005, -0.079, -0.027, -0.366
165, -8.299,  2.004, -2.183,  -0.268,  0.033, -1.030, -0.077, -0.021, -0.366
166, -9.735,  2.707, -4.553,  -0.255,  0.058, -1.089, -0.077, -0.028, -0.362
167, -9.974,  3.768, -6.759,  -0.288,  0.033, -1.033, -0.077, -0.024, -0.372
168, -4.837,  1.615, -6.430,  -0.310,  0.059, -0.989, -0.073, -0.033, -0.383
169, -6.019, -0.045, -5.264,  -0.302,  0.048, -0.995, -0.077, -0.032, -0.365
170, -6.894,  1.301, -2.819,  -0.312,  0.124, -0.949, -0.076, -0.039, -0.362
171, 22.101, -3.641, 15.253,  -0.346, -0.026, -1.008, -0.069, -0.016, -0.400
172,  6.946, 21.855, -5.824,  -0.363, -0.144, -1.654, -0.076, -0.003, -0.371
173,-24.068, 69.564,-10.879,  -0.277, -0.163, -1.412, -0.101, -0.011, -0.357
174,  1.293, 65.243,-17.376,  -0.005, -0.175, -0.863, -0.151, -0.039, -0.324
175, 11.208, 30.961,-42.618,   0.056, -0.128, -0.647, -0.178, -0.032, -0.309
176,  5.981,  9.234,-56.128,   0.105, -0.029, -0.831, -0.189, -0.037, -0.309
177, -9.854, -2.669,-35.104,   0.064,  0.247, -0.757, -0.191, -0.085, -0.295
178,-21.772,-16.397,-11.574,   0.120,  0.174, -0.608, -0.186, -0.087, -0.293
179,-14.871,-43.291, -8.613,   0.021,  0.003, -0.776, -0.166, -0.104, -0.319
180,-16.120,-51.358,-20.329,  -0.212,  0.060, -0.950, -0.134, -0.108, -0.346
