Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
303,-21.339,  8.434, -7.402,  -0.210,  0.191,  1.006, -0.177, -0.367,  0.331
304,-13.084,  7.746, -5.301,  -0.239,  0.110,  1.013, -0.178, -0.366,  0.339
305,-15.963, 13.346, -7.155,  -0.205,  0.052,  0.973, -0.173, -0.354,  0.342
306,-12.359,  2.587, -3.970,  -0.252,  0.064,  1.035, -0.169, -0.351,  0.347
307,-13.675, -0.277,  0.411,  -0.240,  0.066,  0.993, -0.163, -0.346,  0.352
308, -2.445, -1.548, -4.897,  -0.229,  0.045,  0.959, -0.166, -0.341,  0.353
309,-16.210, -6.041, 17.421,  -0.213,  0.082,  1.010, -0.181, -0.335,  0.341
310, -3.768, -3.866, 24.060,  -0.205,  0.075,  1.127, -0.188, -0.329,  0.335
311, -7.133,  3.432,  0.060,  -0.171,  0.018,  1.007, -0.197, -0.324,  0.330
312,-10.064, -0.890,  1.593,  -0.228,  0.014,  1.028, -0.197, -0.327,  0.332
313,-11.170, -0.157, -0.837,  -0.190,  0.041,  0.995, -0.199, -0.319,  0.333
314, -0.822, -0.553,  4.209,  -0.175,  0.033,  0.991, -0.212, -0.314,  0.329
315, -2.168,  0.292,  0.561,  -0.174,  0.039,  0.992, -0.216, -0.314,  0.326
316, -1.824,  1.847, -0.703,  -0.142,  0.024,  0.984, -0.215, -0.314,  0.323
317,  0.209,  9.159,-12.382,  -0.156,  0.054,  0.971, -0.212, -0.317,  0.328
318, -6.684,  3.387, -7.148,  -0.146,  0.039,  0.964, -0.212, -0.318,  0.327
319, -8.277,  3.686, -6.348,  -0.170,  0.036,  0.984, -0.209, -0.323,  0.325
320,-18.086,  6.064, -8.374,  -0.118,  0.101,  1.010, -0.206, -0.315,  0.324
321,-11.200, -3.933,-14.079,   0.024, -0.020,  1.036, -0.205, -0.318,  0.341
322, 12.912, -0.718,-33.556,   0.130,  0.098,  1.176, -0.198, -0.326,  0.340
323, 16.733,  3.866,-37.750,   0.075,  0.092,  0.992, -0.191, -0.352,  0.340
324,-81.639, 23.814,-20.853,  -0.342,  0.153,  0.945, -0.163, -0.378,  0.359
325,-42.094, 18.221, -4.561,  -0.323,  0.340,  0.753, -0.167, -0.380,  0.373
326, -3.589, 23.335, -6.924,  -0.363,  0.049,  1.094, -0.178, -0.395,  0.368
327,-25.922,  1.794, -5.376,  -0.298,  0.187,  0.922, -0.199, -0.370,  0.367
328,-25.563, 10.004,  5.353,  -0.368,  0.125,  0.886, -0.165, -0.350,  0.319
