Packet number, Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Acceleromter Y (g),Accelerometer Z (g), Magnetometer X (G), Magnetometer Y (G), Magnetometer Z (G)
798, -4.344,  2.647, -4.217,  -0.144,  0.031, -0.999,  0.049, -0.082, -0.258
799, -4.688,  2.931, -4.337,  -0.127,  0.041, -1.044,  0.052, -0.083, -0.257
800, -4.479,  2.923, -4.456,  -0.126,  0.041, -1.042,  0.052, -0.080, -0.254
801, -5.279,  3.080, -4.755,  -0.110,  0.048, -1.077,  0.052, -0.078, -0.259
802, -3.993,  2.146, -3.880,  -0.151,  0.031, -1.000,  0.048, -0.078, -0.258
803, -4.239,  2.258, -3.925,  -0.149,  0.032, -0.996,  0.050, -0.079, -0.259
804, -5.525,  3.372, -4.950,  -0.118,  0.048, -1.072,  0.051, -0.080, -0.255
805, -1.936, 11.589,  3.484,  -0.147, -0.005, -1.035,  0.050, -0.082, -0.260
806, -3.985,  2.639, -4.150,  -0.172,  0.020, -0.949,  0.051, -0.080, -0.258
807, -4.352,  2.505, -4.516,  -0.119,  0.045, -1.059,  0.052, -0.081, -0.261
808, -4.748,  2.692, -4.232,  -0.112,  0.046, -1.076,  0.048, -0.081, -0.257
809, -5.129,  3.290, -4.531,  -0.111,  0.047, -1.069,  0.050, -0.081, -0.259
810, -4.837,  3.178, -4.718,  -0.123,  0.044, -1.052,  0.051, -0.081, -0.261
811, -5.780,  3.178, -4.740,  -0.123,  0.043, -1.048,  0.044, -0.083, -0.256
812, -5.443,  3.492, -4.703,  -0.121,  0.042, -1.051,  0.050, -0.081, -0.260
813, -5.413,  3.469, -4.793,  -0.105,  0.051, -1.081,  0.048, -0.081, -0.260
814, -5.159,  3.365, -4.666,  -0.118,  0.044, -1.066,  0.050, -0.084, -0.262
815, -4.359,  2.654, -4.060,  -0.144,  0.033, -1.010,  0.050, -0.081, -0.260
816, -4.030,  2.737, -4.015,  -0.146,  0.032, -1.011,  0.044, -0.081, -0.260
817, -4.778,  2.699, -4.441,  -0.133,  0.036, -1.032,  0.046, -0.081, -0.258
818, -5.473,  3.380, -4.546,  -0.103,  0.050, -1.083,  0.049, -0.082, -0.259
819, -4.965,  2.766, -4.307,  -0.146,  0.030, -0.992,  0.051, -0.082, -0.261
820, -4.897,  2.654, -4.269,  -0.157,  0.029, -0.979,  0.046, -0.080, -0.262
821, -5.114,  3.327, -4.359,  -0.106,  0.050, -1.085,  0.051, -0.084, -0.256
