ax, ay, az, gx, gy, gz 
  0.182,  0.299, -1.110,  9.234,  52.906,  35.836
 -0.013,  0.404, -1.042,-101.468,  90.537, -95.449
  0.315,  0.623, -0.639,-69.392, -12.008,  54.947
  0.319,  0.558, -0.616,-27.903,   5.989,  25.002
  0.373,  0.569, -0.685,-12.808, -22.453,  22.759
  0.513,  0.451, -0.709,-35.694,   8.830,  31.963
  0.500,  0.253, -0.331,-12.561,  -0.994,  23.679
  0.433, -0.904, -0.135, 61.452, -29.623,  42.565
  0.196, -2.000, -0.860,210.300, -75.598, -87.389
 -2.000, -2.000, -1.918,243.542, -232.020, -243.804
 -2.000, -2.000, -2.000,-100.107,   9.959, -243.804
 -2.000, -1.132, -1.845,-141.835, 195.436, -243.804
 -1.733, -0.162, -0.578,-102.881, 226.016, -243.804
 -1.046,  0.623,  0.122,-39.178, 111.868, -97.131
 -0.517,  1.317,  0.225,-73.258, -39.949,  21.578
  0.084,  0.938, -0.487, -5.361, -51.261,  44.001
  0.156,  0.848, -0.460,  7.499,  -7.365,  21.391
  0.006,  0.924, -0.336,  6.520,  -3.970,   2.108
  0.012,  0.909, -0.440,  4.052,  -9.608,   2.123
 -0.055,  0.954, -0.464,  6.236,  -9.256,   2.609
 -0.010,  0.942, -0.493, -2.191,  -2.288,  12.195
  0.009,  0.878, -0.497, -1.817,   0.142,   4.509
 -0.006,  0.904, -0.461,  2.684,  -1.122,   3.492
  0.033,  0.882, -0.513,  4.576,   4.710,   5.129
 -0.023,  0.876, -0.502,  7.178,   7.245,   2.946
 -0.120,  0.701, -0.416, 23.896,  -3.006,  18.154
  0.019,  0.724, -0.584, 48.360, -49.803,  47.343
 -0.089,  0.796, -0.963, 50.102, -37.018,  47.567
 -0.060,  0.563, -0.873, 24.629, -46.087,  77.235
  0.074,  0.420, -0.967, 17.862, -39.881,  64.001
  0.046,  0.375, -0.957, 23.462, -41.736,  63.344
  0.058,  0.303, -1.006, 30.266, -28.487,  63.044
 -0.043,  0.347, -1.024, 28.644, -21.249,  53.242
  0.024,  0.209, -1.036, 37.496,  -5.862,  61.654
 -0.048,  0.151, -1.078, 26.131,   2.273,  57.706
  0.034,  0.036, -1.088, 12.531,   7.641,  45.773
 -0.034,  0.006, -1.057, 11.170,  11.499,  34.102
 -0.045,  0.063, -1.068, -3.566,   2.624,  41.063
 -0.039,  0.018, -1.064,  6.699,  -2.557,  42.169
 -0.145,  0.058, -1.045,  0.860,   2.415,  47.769
 -0.163,  0.017, -1.091, -6.886,  -9.144,  61.826
 -0.168,  0.021, -1.058,-10.782, -14.610,  75.179
 -0.152, -0.013, -1.099,-17.885, -15.312,  66.431
 -0.141, -0.034, -1.076, -5.854,  -0.479,  45.833
 -0.139, -0.016, -0.994,-10.782,  11.552,  15.073
 -0.178,  0.058, -1.072, -4.209,  17.541,   6.961
 -0.180,  0.098, -1.035, -0.037,  19.552,   4.666
 -0.170,  0.123, -1.011, -9.294,  13.869,  -2.161
 -0.179,  0.132, -1.043, -3.230,  16.075,  -0.030
 -0.170,  0.134, -1.047,  1.802,   8.224,  -6.116
 -0.165,  0.111, -1.043, 14.490,  13.466,   6.363
 -0.142, -0.023, -1.114, 95.853,  48.622,  74.469
 -0.201,  0.024, -0.983, -9.914,   0.650,  14.415
 -0.171,  0.074, -1.069,-32.008,  -9.787,  23.896
 -0.200,  0.133, -1.089,-26.999,   0.209,  45.930
 -0.245,  0.271, -1.100,-15.544, -17.496,  39.492
 -0.242,  0.084, -1.064,-14.901, -10.550,  44.868
 -0.184,  0.170, -1.126,-31.829,  -8.344,  42.999
 -0.175,  0.214, -1.005,-41.264,  -8.583,  40.285
 -0.112,  0.344, -1.045,-30.221, -26.789,  16.770
 -0.152,  0.467, -0.953,-33.690,   5.047,  25.234
 -0.119,  0.763, -0.887,-41.765,   8.247,  29.436
  0.113,  0.534, -0.469,-11.903,  33.773, 132.646
  0.186, -0.992, -0.677, 89.004,  58.244, 219.340
 -0.278, -2.000,  0.378,244.865, -10.774,  98.559
 -2.000, -2.000, -2.000,244.813, -245.000, -243.804
 -2.000, -1.168, -2.000,-243.460, 242.129, -243.804
 -2.000,  1.359, -0.318,-53.855, 242.129, -116.429
 -1.622,  0.584,  0.736, 16.449, 189.029,  25.376
  0.310,  1.162,  0.199, 61.257, -76.832,  26.229
  0.460,  0.846, -0.820, 39.306, -61.564,  61.923
  0.521,  0.641, -0.433, 11.215,  -0.979,   9.316
  0.320,  0.791, -0.481,  5.279,   2.864, -20.225
  0.247,  0.811, -0.510,  5.944,   3.656,  -3.806
  0.223,  0.875, -0.530,  1.338,  -5.219,  10.408
  0.316,  0.765, -0.578,  0.441,  -9.802,  18.064
